batch,repo,category,rank_in_category,usage,sample_index,file,line_count,sample_status,q01_clear_receiver_owner,q01_clear_receiver_owner_answer,q02_sender_cloning,q02_sender_cloning_answer,q03_receiver_loop,q03_receiver_loop_answer,q04_mailbox_pattern,q04_mailbox_pattern_answer,q05_fan_in,q05_fan_in_answer,q06_fan_out,q06_fan_out_answer,q07_worker_queue,q07_worker_queue_answer,q08_shutdown_signal,q08_shutdown_signal_answer,q09_data_transport,q09_data_transport_answer,q10_command_messages,q10_command_messages_answer,q11_notification_messages,q11_notification_messages_answer,q12_background_dispatch,q12_background_dispatch_answer,q13_cross_thread_usage,q13_cross_thread_usage_answer,q14_cross_async_task_usage,q14_cross_async_task_usage_answer
4,wasmerio/wasmer,mpmc_competing_consumers,4,INSTRUMENTAL_TO_ARCHITECTURE,4,lib/virtual-net/src/rx_tx.rs,637,analyzable,1,true,1,true,0,false,0,false,0,false,0,false,1,true,1,true,1,true,0,false,0,false,1,true,0,false,1,true
4,wasmerio/wasmer,mpmc_competing_consumers,4,INSTRUMENTAL_TO_ARCHITECTURE,5,lib/virtual-net/src/loopback.rs,237,not_relevant,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false
4,biomejs/biome,oneshot,4,INSTRUMENTAL_TO_ARCHITECTURE,1,crates/biome_cli/src/service/mod.rs,479,analyzable,1,true,0,false,1,true,1,true,0,false,0,false,0,false,1,true,1,true,1,true,0,false,1,true,0,false,1,true
4,biomejs/biome,oneshot,4,INSTRUMENTAL_TO_ARCHITECTURE,2,xtask/coverage/src/runner.rs,411,analyzable,1,true,1,true,1,true,0,false,1,true,0,false,0,false,0,false,1,true,0,false,0,false,0,false,1,true,0,false
4,biomejs/biome,oneshot,4,INSTRUMENTAL_TO_ARCHITECTURE,3,crates/biome_lsp/src/session.rs,1408,analyzable,1,true,1,true,1,true,1,true,0,false,1,true,0,false,1,true,1,true,0,false,1,true,1,true,0,false,1,true
4,biomejs/biome,oneshot,4,INSTRUMENTAL_TO_ARCHITECTURE,4,crates/biome_lsp/src/server.rs,771,analyzable,1,true,0,false,0,false,0,false,0,false,1,true,0,false,0,false,0,false,0,false,1,true,0,false,0,false,0,false
4,biomejs/biome,oneshot,4,INSTRUMENTAL_TO_ARCHITECTURE,5,crates/biome_service/src/workspace.rs,1957,not_relevant,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false
5,sharkdp/fd,mpsc,5,INSTRUMENTAL_TO_ARCHITECTURE,1,src/walk.rs,738,analyzable,1,true,1,true,1,true,0,false,1,true,0,false,1,true,0,false,1,true,0,false,0,false,1,true,1,true,0,false
5,atuinsh/atuin,mpmc_pub_sub,5,INSTRUMENTAL_TO_ARCHITECTURE,1,crates/atuin/src/command/client/scripts.rs,590,analyzable,1,true,1,true,1,true,0,false,0,false,0,false,0,false,1,true,1,true,0,false,1,true,0,false,0,false,1,true
5,atuinsh/atuin,mpmc_pub_sub,5,INSTRUMENTAL_TO_ARCHITECTURE,2,crates/atuin-ai/src/driver.rs,1018,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,0,false,1,true,1,true,1,true,1,true,1,true,0,false,1,true
5,atuinsh/atuin,mpmc_pub_sub,5,INSTRUMENTAL_TO_ARCHITECTURE,3,crates/atuin-hex/src/lib.rs,475,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,0,false,0,false,1,true,1,true,1,true,1,true,1,true,0,false
5,atuinsh/atuin,mpmc_pub_sub,5,INSTRUMENTAL_TO_ARCHITECTURE,4,crates/atuin-daemon/src/components/sync.rs,296,analyzable,1,true,0,false,1,true,1,true,0,false,0,false,0,false,1,true,0,false,1,true,1,true,1,true,0,false,1,true
5,atuinsh/atuin,mpmc_pub_sub,5,INSTRUMENTAL_TO_ARCHITECTURE,5,crates/atuin-client/src/settings/watcher.rs,256,analyzable,1,true,0,false,1,true,0,false,0,false,1,true,0,false,0,false,1,true,0,false,1,true,1,true,1,true,0,false
5,openobserve/openobserve,mpmc_competing_consumers,5,INSTRUMENTAL_TO_ARCHITECTURE,1,src/infra/src/db/sqlite.rs,1367,analyzable,1,true,1,true,1,true,1,true,1,true,1,true,1,true,0,false,1,true,1,true,1,true,1,true,0,false,1,true
5,openobserve/openobserve,mpmc_competing_consumers,5,INSTRUMENTAL_TO_ARCHITECTURE,2,src/config/src/utils/file.rs,475,analyzable,0,false,1,true,0,false,0,false,1,true,0,false,0,false,0,false,1,true,0,false,0,false,0,false,0,false,0,false
5,openobserve/openobserve,mpmc_competing_consumers,5,INSTRUMENTAL_TO_ARCHITECTURE,3,src/router/grpc/ingest/traces.rs,89,not_relevant,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false
5,openobserve/openobserve,mpmc_competing_consumers,5,INSTRUMENTAL_TO_ARCHITECTURE,4,src/router/grpc/ingest/logs.rs,89,not_relevant,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false,0,false
5,openobserve/openobserve,mpmc_competing_consumers,5,INSTRUMENTAL_TO_ARCHITECTURE,5,src/main.rs,1804,analyzable,1,true,0,false,0,false,0,false,0,false,0,false,0,false,1,true,0,false,0,false,1,true,0,false,1,true,1,true
5,diem/diem,oneshot,5,INSTRUMENTAL_TO_ARCHITECTURE,1,crates/diem-rate-limiter/src/main.rs,300,analyzable,1,true,1,true,0,false,0,false,1,true,0,false,0,false,0,false,1,true,0,false,0,false,0,false,0,false,1,true
5,diem/diem,oneshot,5,INSTRUMENTAL_TO_ARCHITECTURE,2,consensus/src/txn_manager.rs,172,analyzable,1,true,1,true,0,false,1,true,1,true,0,false,0,false,0,false,1,true,1,true,1,true,0,false,0,false,1,true
5,diem/diem,oneshot,5,INSTRUMENTAL_TO_ARCHITECTURE,3,network/src/connectivity_manager/mod.rs,980,analyzable,1,true,1,true,1,true,1,true,1,true,0,false,0,false,1,true,1,true,1,true,1,true,0,false,0,false,1,true
5,diem/diem,oneshot,5,INSTRUMENTAL_TO_ARCHITECTURE,4,language/testing-infra/test-generation/src/lib.rs,468,analyzable,1,true,1,true,1,true,0,false,1,true,0,false,1,true,1,true,1,true,0,false,1,true,1,true,1,true,0,false
5,diem/diem,oneshot,5,INSTRUMENTAL_TO_ARCHITECTURE,5,language/move-prover/boogie-backend/src/prover_task_runner.rs,238,analyzable,1,true,1,true,1,true,0,false,1,true,1,true,1,true,1,true,1,true,0,false,1,true,1,true,1,true,1,true
